@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2017-09-25 14:00:00',0,0,0,1
'2017-10-26 05:00:00',8.5,6,18,3
'2017-10-25 15:00:00',3,14,25,12
'2017-12-05 14:00:00',3,10,2,0
'2017-09-07 06:00:00',3,12,?,0
'2018-12-01 13:00:00',3,2,9,1
'2018-11-01 13:00:00',3,20,5,18
'2018-09-23 10:00:00',8.5,15,77,81
'2017-12-12 11:00:00',0,3,7,0
'2018-09-07 06:00:00',8.5,20,9,0
'2018-11-19 07:15:00',0,1,1,0
'2017-10-02 12:00:00',0,19,40,1
'2017-11-25 15:00:00',3,9,40,0
'2018-10-31 08:00:00',8.5,5,9,6
'2017-09-03 08:00:00',0,13,?,0
'2018-12-08 15:00:00',8.5,-2,33,0
'2017-10-19 13:00:00',3,18,35,18
'2017-09-15 07:00:00',3,17,7,0
'2017-10-14 06:00:00',0,14.4,?,1
'2018-09-29 14:00:00',8.5,0,30,23
'2018-10-21 11:00:00',15.5,5,33,60
'2018-11-27 11:00:00',24,2,65,2
'2018-12-15 13:00:00',15.5,8,12,0
'2018-10-28 17:00:00',?,0,?,0
'2017-08-19 15:00:00',3,26,65,1
'2018-10-18 08:00:00',15.5,5,25,107
'2018-10-25 11:00:00',8.5,10,50,25
'2018-09-30 14:00:00',3,20,50,17
'2018-10-09 11:00:00',0,25,7,29
'2018-08-25 09:00:00',15.5,19,15,3
'2018-11-21 08:00:00',8.5,-2,9,0
'2017-09-15 06:00:00',8.5,17,9,0
'2017-11-20 10:00:00',3,1,30,6
'2017-10-27 07:00:00',3,5,33,0
'2017-09-28 13:00:00',24,19,30,6
'2017-10-22 07:00:00',0,16,77,1
'2017-12-07 13:00:00',3,3,20,3
'2017-10-05 14:00:00',3,23,20,0
'2017-09-13 12:00:00',?,0,?,0
'2017-09-24 07:00:00',8.5,20,33,3
'2017-09-20 10:00:00',3,26,20,12
'2017-10-26 09:00:00',?,0,?,25
'2017-09-02 05:00:00',8.5,10,?,0
'2018-10-30 09:00:00',?,0,?,78
'2017-09-16 14:00:00',3,26,12,48
'2017-10-01 14:00:00',3,14,77,1
'2018-10-17 15:00:00',24,10,60,31
'2018-10-07 16:00:00',3,23,33,18
'2018-10-20 15:00:00',8.5,11,20,18
'2018-10-30 07:00:00',8.5,2,10,6
'2017-09-22 10:00:00',8.5,21,33,24
'2018-10-23 09:00:00',3,8,15,52
'2018-09-17 10:00:00',8.5,19,?,0
'2017-11-08 10:00:00',3,4,13,12
